NO,Name,DateCreatedYear,DateEstablishedYear,ArticleFrequency,Note( I select some mesh term to find why their frequency is 0 ),
D000001,Calcimycin,1974,1984,11755,,
D000002,Temefos,1999,1991,316,,
D000003,Abattoirs,1999,1966,4920,,
D000004,Abbreviations as Topic,1999,1960,1022,,
D000005,Abdomen,1999,1966,35885,,
D000006,"Abdomen, Acute",1999,1966,8984,,
D000007,Abdominal Injuries,1999,1966,13485,,
D000008,Abdominal Neoplasms,1999,1966,8842,,
D000009,Abdominal Muscles,1999,1993,10488,,
D000010,Abducens Nerve,1999,1966,1821,,
D000011,Abelson murine leukemia virus,1979,1991,433,,
D000012,Abetalipoproteinemia,1999,1966,562,,
D000013,Congenital Abnormalities,1999,2008,32459,,
D000014,"Abnormalities, Drug-Induced",1999,1964,14087,,
D000015,"Abnormalities, Multiple",1999,1968,39193,,
D000016,"Abnormalities, Radiation-Induced",1978,1979,819,,
D000017,ABO Blood-Group System,1975,1976,14118,,
D000018,Abomasum,1999,1968,2224,,
D000019,Abortifacient Agents,1999,1975,1519,,
D000020,"Abortifacient Agents, Nonsteroidal",1974,1991,2331,,
D000021,"Abortifacient Agents, Steroidal",1974,1991,868,,
D000022,"Abortion, Spontaneous",1999,1999,17911,,
D000023,Abortion Applicants,1974,1976,606,,
D000024,"Abortion, Criminal",1999,1966,2041,,
D000025,"Abortion, Eugenic",1974,1991,1937,,
D000026,"Abortion, Habitual",1999,1966,6160,,
D000027,"Abortion, Incomplete",1974,1975,641,,
D000028,"Abortion, Induced",1999,1971,25718,,
D000029,"Abortion, Legal",1999,1964,7086,,
D000030,"Abortion, Missed",1999,1966,1016,,
D000031,"Abortion, Septic",1999,1966,1276,,
D000032,"Abortion, Therapeutic",1999,1966,5061,,
D000033,"Abortion, Threatened",1999,1966,2211,,
D000034,"Abortion, Veterinary",1999,1966,4232,,
D000035,Abreaction,1999,1968,249,,
D000036,Abrin,1974,1991,248,,
D000037,Abruptio Placentae,1999,1966,2071,,
D000038,Abscess,1999,1966,25785,,
D000039,Peritonsillar Abscess,1999,1989,980,,
D000040,Abscisic Acid,1974,1991,4810,,
D000041,Absenteeism,1999,1963,8022,,
D000042,Absorption,1999,1966,29823,,
D000043,Abstracting and Indexing as Topic,1999,1960,4488,,
D000044,Dental Abutments,1999,1970,7186,,
D000045,Acacia,1999,1991,972,,
D000046,Academic Medical Centers,1979,1980,14865,,
D000047,Academies and Institutes,1999,1970,15198,,
D000048,Acanthamoeba,1987,1988,1957,,
D000049,Acanthocephala,1999,1974,994,,
D000050,Acanthocytes,1974,1991,296,,
D000051,Acantholysis,1999,1991,798,,
D000052,Acanthosis Nigricans,1999,1966,1499,,
D000053,Acari,1999,1975,668,,
D000054,Acceleration,1999,1966,9233,,
D000055,Accessory Nerve,1999,1966,875,,
D000056,Accident Prevention,1999,1966,8698,,
D000057,Accident Proneness,1974,1975,344,,
D000058,Accidental Falls,1986,1991,18338,,
D000059,Accidents,1999,1966,18653,,
D000060,"Accidents, Aviation",1999,1966,2533,,
D000061,"Accidents, Home",1999,1970,4250,,
D000062,"Accidents, Occupational",1999,1979,16462,,
D000063,"Accidents, Traffic",1999,1966,37826,,
D000064,Acclimatization,1999,1966,13832,,
D000065,"Accommodation, Ocular",1999,1966,5906,,
D000066,Accounting,1999,1966,3942,,
D000066388,Oil and Gas Industry,2015,2016,122,,
D000066428,Coal Industry,2015,2016,12,,
D000066448,Driving Under the Influence,2015,2016,111,,
D000066449,Human Embryonic Stem Cells,2015,2016,290,,
D000066450,Mouse Embryonic Stem Cells,2015,2016,276,,
D000066473,Embryonic Germ Cells,2015,2016,14,,
D000066477,Work Performance,2015,2016,128,,
D000066479,Criminal Behavior,2015,2016,63,,
D000066491,Clinical Decision-Making,2015,2016,838,,
D000066492,Cognitive Aging,2015,2016,67,,
D000066494,Cognitive Neuroscience,2015,2016,35,,
D000066498,Emotional Adjustment,2015,2016,173,,
D000066499,Facial Recognition,2015,2016,402,,
D000066502,Grandparents,2015,2016,66,,
D000066505,Help-Seeking Behavior,2015,2016,127,,
D000066506,Heuristics,2015,2016,85,,
D000066511,Intimate Partner Violence,2015,2016,455,,
D000066530,Neurological Rehabilitation,2015,2016,114,,
D000066550,Physical Abuse,2015,2016,103,,
D000066553,Problem Behavior,2015,2016,335,,
D000066608,Underage Drinking,2015,2016,152,,
D000066630,Ectopic Gene Expression,2015,2016,56,,
D000066670,Cell Plasticity,2015,2016,93,,
D000066673,Cell Self Renewal,2015,2016,212,,
D000066768,Rehabilitation Research,2015,2016,24,,
D000066792,Orthodontists,2015,2016,44,,
D000066794,Oral and Maxillofacial Surgeons,2015,2016,20,,
D000066829,Neuroprotection,2015,2016,230,,
D000066888,"Diet, Food, and Nutrition",2015,2016,0,New Introduced,
D000066889,Triticale,2015,2016,16,,
D000066891,Critical Care Outcomes,2015,2016,11,,
D000066908,Simulation Training,2015,2016,579,,
D000066928,Millets,2015,2016,13,,
D000066949,Biobehavioral Sciences,2015,2016,30,,
D000066970,Protein Corona,2015,2016,44,,
D000066988,Vegetarians,2015,2016,26,,
D000066989,Vegans,2015,2016,8,,
D000067,Accounts Payable and Receivable,1977,1991,1594,,
D000067009,Youth Sports,2015,2016,41,,
D000067010,Literacy,2015,2016,129,,
D000067011,Severe Acute Malnutrition,2015,2016,34,,
D000067012,"Banking, Personal",2015,2016,19,,
D000067013,Evidence-Based Facility Design,2015,2016,4,,
D000067029,"Physical Appearance, Body",2015,2016,41,,
